danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_uri,artist,track_uri,track_name,artist_genres
0.804,0.604,7,-6.416,1,0.039,0.848,0.0,0.246,0.964,105.993,spotify:artist:3CygdxquGHurS7f9LjNLkv,Little Big Town,spotify:track:3VOH59vQXLVTSUxxXcaYiw,"Wine, Beer, Whiskey (Acoustic Version)","['contemporary country', 'country', 'country dawn', 'country road']"
0.68,0.765,1,-8.981,1,0.799,0.065,1.43e-06,0.0961,0.689,82.688,spotify:artist:6X8WdFjrNhXATMDSs26aCc,Curren$y,spotify:track:55wsrEpFbGhYEAQrfv5jWC,Kush Through the Sunroof,"['alternative hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']"
0.49,0.449,1,-12.361,1,0.259,0.142,0.856,0.13,0.155,119.847,spotify:artist:5SyGEPymt1G2uto47tVWvZ,MadeinTYO,spotify:track:4cOdRhWoQg8wrtggw6YZLY,HUNNIDDOLLA,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']"
0.794,0.833,1,-3.025,1,0.34,0.3,0.0,0.248,0.584,156.998,spotify:artist:0rpUnzu4JIoRkKkGvdcm7b,Lil Eazzyy,spotify:track:1CnW2I8CBRR8rYxTcPP7Bn,Freestyle,"['chicago rap', 'trap']"
0.428,0.9,11,-4.195,1,0.0384,1.64e-05,0.773,0.242,0.228,160.057,spotify:artist:56dO9zeHKuU5Gvfc2kxHNw,Chevelle,spotify:track:43WDs22CX8vCalLnpL05T2,Remember When,"['alternative metal', 'alternative rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
0.74,0.587,9,-4.338,1,0.072,0.0464,4.04e-06,0.159,0.651,142.018,spotify:artist:5VX8hxrcfJWwaTLiqGUHG3,TobyMac,spotify:track:6eBNUcu4T5tWhE0rGDwtTP,Help Is On The Way (Maybe Midnight),"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'worship']"
0.677,0.693,1,-7.324,0,0.234,0.0525,0.0,0.0848,0.535,137.132,spotify:artist:4nZmMrwH6LxHnCzQv4IFUE,BIG30,spotify:track:6uCyWZTj2bV94a5vkjZkik,Blrrrd Pt 2,"['memphis hip hop', 'trap']"
0.857,0.329,10,-17.057,1,0.61,0.906,0.0,0.35,0.96,135.648,spotify:artist:4nZmMrwH6LxHnCzQv4IFUE,BIG30,spotify:track:1Gd8otKnfP6qwdFphyKEZo,Rock Out,"['memphis hip hop', 'trap']"
0.813,0.376,7,-12.363,1,0.082,0.000601,0.9,0.102,0.307,87.027,spotify:artist:6sLwRSXSUF5JTUnQaFenyj,Christopher Jackson,spotify:track:4UikQCMenLeOaYzTSgd8s4,River,"['hollywood', 'show tunes']"
0.461,0.467,0,-7.628,1,0.0586,0.00766,0.0,0.11,0.167,74.686,spotify:artist:5uLkZ7FWMTBUg1corQqdkR,Lund,spotify:track:1CIxzzS0nVJNfk5wuN2MjM,Reckless,"['emo rap', 'lo-fi chill', 'pop rap', 'sad rap']"
0.751,0.905,9,-4.118,1,0.0447,0.0156,0.0413,0.344,0.739,124.006,spotify:artist:1yNIb413Bmfs2ZBVuPp9kC,Jack Stauber's Micropop,spotify:track:1AqjqW5gEUfuXkDKM4NjM5,Are We Gone?,['indie pop']
0.706,0.733,0,-10.941,1,0.0682,0.094,0.0,0.266,0.659,117.012,spotify:artist:5Matrg5du62bXwer29cU5T,Benny the Butcher,spotify:track:1iFJvmZ2N2HLetC9uL4v39,Immunity,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
