artist_uri,artist,track_uri,track_name
spotify:artist:2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,spotify:track:3ig7SLurMJy1Z8l2bj9yZH,Without You (Boy Dunno Remix)
spotify:artist:3hcs9uc56yIGFCSy9leWe7,Lil Durk,spotify:track:7EqKpYaxDbPrzSCIdAAUDF,Love You Too (feat. Kehlani)
spotify:artist:6AgTAQt8XS6jRWi4sX7w49,Polo G,spotify:track:1A8990rtwHQ417l3yADe5t,GNF (OKOKOK)
spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,spotify:track:0vyPhRSQZuNc9VZpb1FZeU,By Yourself (feat. Jhené Aiko & Mustard)
spotify:artist:718COspgdWOnwOFpJHRZHS,Luke Combs,spotify:track:3q3lSbfT5BnQlIvGwahgAD,The Great Divide
spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:track:6B7jm2IJsh3DYXO7RgwVnx,Prisoner (feat. Dua Lipa) (Jax Jones Remix)
spotify:artist:4kYSro6naA4h99UJvo89HB,Cardi B,spotify:track:4x68ANg3fJgpzEqvNSCvWh,Up
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,Diplo,spotify:track:5M9aURB8w1hD13HZhdBSUB,Turn Back Time (Bklava Remix)
spotify:artist:02kJSzxNuaWGqwubyUba0Z,G-Eazy,spotify:track:0tQmgwFKw9069z1BXniOiA,Provide (feat. Chris Brown & Mark Morrison)
spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia,spotify:track:2AceGjiX9isUbXmMZa0Dl1,Floating Through Space
spotify:artist:3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,spotify:track:0WBzEhw1dk6OeGQwsxWRa5,Time Today
spotify:artist:329e4yvIujISKGKz1BZZbO,Farruko,spotify:track:4qogq65KKQhTrs7N7iTjg8,Burros de Salitre
spotify:artist:3Y7RZ31TRPVadSFVy1o8os,H.E.R.,spotify:track:2UJsKjM595pEyWUcd8JEIR,"Fight For You (From the Original Motion Picture ""Judas and the Black Messiah"")"
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:0EJcJV9LnoiiFQD7oVhSwA,Avatar's Love
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:2Uj2AHraTnIoIoNCHcHVEC,Breathe
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:3Kq9aL23BItUwtivLHypoy,Dakiti
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:4Fk8SJtl3UAtk22oLAVdDz,Steven Universe
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:7cSK36g7Jb27r9UmBbyC7e,Test Drive
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:2j7BPZDxU6TVZ3miGoLiF5,Wish You Were Here
spotify:artist:0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,spotify:track:0Oo9yzhli7r5V5XO6y3GeN,Country Does
spotify:artist:7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,spotify:track:472vIK1ldetTxRxG3ovaiY,Glad You Exist
spotify:artist:2IvkS5MXK0vPGnwyJsrEyV,Eric Church,spotify:track:6Knc8FSEzgcjOfoKoDS5ZK,Lynyrd Skynyrd Jones
spotify:artist:77ziqFxp5gaInVrF2lj4ht,Sech,spotify:track:2TksvaRivgAEj780DgRB73,911
spotify:artist:3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,spotify:track:1WDnnOrJO9I8MsAQ8RScdz,"Beautiful Things Can Happen (from the Original Motion Picture ""Music"")"
spotify:artist:5F1aAS1duwlzExnPs3l2Xe,Pooh Shiesty,spotify:track:0FrJf87J2nMq5Tk7z6FurB,Neighbors (feat. BIG30)
spotify:artist:6AUl0ykLLpvTktob97x9hO,Tee Grizzley,spotify:track:7gVseEuINTNzR31IiG1aUe,Late Night Calls
spotify:artist:7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,spotify:track:15b25YHnwPmRelBZrhXBew,Lost One (Live)
spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,JID,spotify:track:1wR9S5YnePrWq37LQlqkr7,Ballads (with Conway The Machine)
spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,JID,spotify:track:1xVmBDw8rTcixOg4P0hvRz,Bruuuh (with Denzel Curry) (Remix)
spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,JID,spotify:track:5JISV2O82kiiwdEzx7ZL9b,Cludder
spotify:artist:6deZN1bslXzeGvOLaLMOIF,Nickelback,spotify:track:7k2t5SM7IsgEtKtRK8V2sm,Rockstar Sea Shanty
spotify:artist:5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,spotify:track:2J37sChzJsqAV9gJPNUcVC,"Bach: Partita No. 1 en Si Bémol Majeur, BWV 825"
spotify:artist:5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,spotify:track:57HDeoyvbz4qKhfjrSNpmw,"Shepherd's Song (After ""Schafe können sicher weiden"", BWV 208, No. 9)"
spotify:artist:47mIJdHORyRerp4os813jD,League of Legends,spotify:track:6FvcMrLyHOwbH5VyqVH38A,Lunar Beasts - 2021
spotify:artist:32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,spotify:track:2dG3A74MjILzQDqJZlWI8x,5 to 9
spotify:artist:1Vvvx45Apu6dQqwuZQxtgW,KIDZ BOP Kids,spotify:track:2Fe3sKtk2YcqJ9KOyfq9f2,Sweet Melody
spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,spotify:track:3q5uRPFpw65179UoA78Niz,Ones You Miss (Acoustic)
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,spotify:track:4ga4WvRNhMsIL38pkBbnIN,Pressure (feat. Tove Lo)
spotify:artist:0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,spotify:track:6KOkjYEbPB8n0ZqSJw2pYC,Gang Signs (feat. ScHoolboy Q)
spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,spotify:track:23D3Z8X2UyLTHRYUZNrvnQ,Trying To Maintain
spotify:artist:3E6xrwgnVfYCrCs0ePERDz,Wisin,spotify:track:4ie9colBgieHEOULuCfK3E,En Mi Habitación
spotify:artist:7DMveApC7UnC2NPfPvlHSU,Cheat Codes,spotify:track:7DgkSYT6vh3UAYQlFbsj6z,Hate You + Love You (feat. AJ Mitchell)
spotify:artist:77AiFEVeAVj2ORpC85QVJs,Steve Aoki,spotify:track:30U858jspmM5gcFlCGm3Ar,"Mambo (feat. Sean Paul, El Alfa, Sfera Ebbasta & Play-N-Skillz)"
spotify:artist:7wg1qvie3KqDNQbAkTdbX0,Louis The Child,spotify:track:74UbkBncJjuG4NxxZmu8i9,Somewhere Else (with BabyJake)
spotify:artist:6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,spotify:track:4TcUrupOgbkEf6J4dGRWZY,Out of Ordinary
spotify:artist:2uFUBdaVGtyMqckSeCl0Qj,Ludovico Einaudi,spotify:track:60VXW6TCUjIvk99wqoIYeT,Nuvole Bianche
spotify:artist:07YUOmWljBTXwIseAUd9TW,Sebastián Yatra,spotify:track:7JlkxvPt4HQSzr4XT5Plsl,Adiós
spotify:artist:7MPGCB854Qo4alYMOPkBka,Ritt Momney,spotify:track:1y1RZ1WceXGSr0X7Q6mG0M,Not Around
spotify:artist:6pRi6EIPXz4QJEOEsBaA0m,Chris Tomlin,spotify:track:4YUIBUIdS7Fkxyl3NIflqv,God Who Listens (feat. Thomas Rhett) (Radio Version)
spotify:artist:2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,spotify:track:5CQ3bAUmejK9x6buhwfJ0a,"Beethoven: Fidelio, Op. 72 / Act 1: Abscheulicher! Wo eilst du hin?"
spotify:artist:5Berubt6ysOy2LCMyqhmXP,YFN Lucci,spotify:track:7502n73GiwIzGj60co3zyg,I Gotcha
spotify:artist:37M5pPGs6V1fchFJSgCguX,FINNEAS,spotify:track:2IFioAFD8QEIq17UwOaSFb,American Cliché
spotify:artist:2XzXLjXRSeFtsic4ieyLJy,Wilbur Soot,spotify:track:6TL1R1j6bgTDQbtplrySEc,PORTRA 400
spotify:artist:5XDJlfdfbGNJrOJJNxTcdq,Phora,spotify:track:5wdYNXwZUzBw2gkVpSkym5,Loaded Gun
spotify:artist:2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,spotify:track:6sUnwJgPUTHKBKnsKZr9PC,HWAA (Dimitri Vegas & Like Mike Remix)
spotify:artist:5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,spotify:track:6XG7Ho0t3uYOjGn2sH8igW,"I'm Old Fashioned (Live On The Ed Sullivan Show, May 5, 1963)"
spotify:artist:1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,spotify:track:2uo6EPprx98UWT1RZHDDYt,I Don't Wanna Be In Love
spotify:artist:6Dd3NScHWwnW6obMFbl1BH,Daya,spotify:track:3n1HsYVwX6qMvihf5uZDKs,Bad Girl
spotify:artist:20DZAfCuP1TKZl5KcY7z3Q,SLANDER,spotify:track:07ImPoPqKNwqucuPEZooBj,"Anywhere (feat. shYbeast, PLYA)"
spotify:artist:6DvlemMOlMH6VD9tB7BPRf,Tom MacDonald,spotify:track:78Sw37ULFaFajzAmyvKkTA,Cancelled
spotify:artist:0FtsMKmZEq8fBWqdSOWtqp,03 Greedo,spotify:track:2vcLUuRT3sqXnPJaIX5w5c,Substance (We Woke Up)
spotify:artist:0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,spotify:track:3m2bGBw8IFmXgla4JFZ8EK,Mehri To Proi (Mis Sentimientos)
spotify:artist:6X8WdFjrNhXATMDSs26aCc,Curren$y,spotify:track:6nJLOMCzucqMhcXrBA3IDo,Misty
spotify:artist:0rpUnzu4JIoRkKkGvdcm7b,Lil Eazzyy,spotify:track:30g0Ka64eZ3PzTWqUtJ62M,Beatbox (Remix)
spotify:artist:6v8FB84lnmJs434UJf2Mrm,Neil Young,spotify:track:78Qjr8AGGUKe9rJDlaNoLh,Daughters
spotify:artist:4sIl4BTo9l9KqEi0Y3RE72,Carly Pearce,spotify:track:5ZTsje1HfASFxiffjLoITe,Should’ve Known Better
spotify:artist:5jAMCwdNHWr7JThxtMuEyy,NOTD,spotify:track:2A166ONzLUq90QAte1Rhhg,Nobody (Acoustic)
spotify:artist:4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,spotify:track:2EZjUyQxIWTdA10yrSNCYG,Por Isso Que Eu Bebo
spotify:artist:1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,spotify:track:2UCu2FoXFZpCT36lYzej4O,Something Stupid (feat. AWA)
