artist_uri,artist,track_uri,track_name,track_url,popularity
spotify:artist:2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,spotify:track:3ig7SLurMJy1Z8l2bj9yZH,Without You (Boy Dunno Remix),https://open.spotify.com/track/3ig7SLurMJy1Z8l2bj9yZH,92
spotify:artist:3hcs9uc56yIGFCSy9leWe7,Lil Durk,spotify:track:7EqKpYaxDbPrzSCIdAAUDF,Love You Too (feat. Kehlani),https://open.spotify.com/track/7EqKpYaxDbPrzSCIdAAUDF,88
spotify:artist:6AgTAQt8XS6jRWi4sX7w49,Polo G,spotify:track:1A8990rtwHQ417l3yADe5t,GNF (OKOKOK),https://open.spotify.com/track/1A8990rtwHQ417l3yADe5t,88
spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,spotify:track:0vyPhRSQZuNc9VZpb1FZeU,By Yourself (feat. Jhené Aiko & Mustard),https://open.spotify.com/track/0vyPhRSQZuNc9VZpb1FZeU,89
spotify:artist:718COspgdWOnwOFpJHRZHS,Luke Combs,spotify:track:3q3lSbfT5BnQlIvGwahgAD,The Great Divide,https://open.spotify.com/track/3q3lSbfT5BnQlIvGwahgAD,85
spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:track:6B7jm2IJsh3DYXO7RgwVnx,Prisoner (feat. Dua Lipa) (Jax Jones Remix),https://open.spotify.com/track/6B7jm2IJsh3DYXO7RgwVnx,90
spotify:artist:4kYSro6naA4h99UJvo89HB,Cardi B,spotify:track:4x68ANg3fJgpzEqvNSCvWh,Up,https://open.spotify.com/track/4x68ANg3fJgpzEqvNSCvWh,89
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,Diplo,spotify:track:5M9aURB8w1hD13HZhdBSUB,Turn Back Time (Bklava Remix),https://open.spotify.com/track/5M9aURB8w1hD13HZhdBSUB,87
spotify:artist:02kJSzxNuaWGqwubyUba0Z,G-Eazy,spotify:track:0tQmgwFKw9069z1BXniOiA,Provide (feat. Chris Brown & Mark Morrison),https://open.spotify.com/track/0tQmgwFKw9069z1BXniOiA,84
spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia,spotify:track:2AceGjiX9isUbXmMZa0Dl1,Floating Through Space,https://open.spotify.com/track/2AceGjiX9isUbXmMZa0Dl1,91
spotify:artist:3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,spotify:track:0WBzEhw1dk6OeGQwsxWRa5,Time Today,https://open.spotify.com/track/0WBzEhw1dk6OeGQwsxWRa5,79
spotify:artist:329e4yvIujISKGKz1BZZbO,Farruko,spotify:track:4qogq65KKQhTrs7N7iTjg8,Burros de Salitre,https://open.spotify.com/track/4qogq65KKQhTrs7N7iTjg8,92
spotify:artist:3Y7RZ31TRPVadSFVy1o8os,H.E.R.,spotify:track:2UJsKjM595pEyWUcd8JEIR,"Fight For You (From the Original Motion Picture ""Judas and the Black Messiah"")",https://open.spotify.com/track/2UJsKjM595pEyWUcd8JEIR,82
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:0EJcJV9LnoiiFQD7oVhSwA,Avatar's Love,https://open.spotify.com/track/0EJcJV9LnoiiFQD7oVhSwA,84
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:2Uj2AHraTnIoIoNCHcHVEC,Breathe,https://open.spotify.com/track/2Uj2AHraTnIoIoNCHcHVEC,84
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:3Kq9aL23BItUwtivLHypoy,Dakiti,https://open.spotify.com/track/3Kq9aL23BItUwtivLHypoy,84
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:4Fk8SJtl3UAtk22oLAVdDz,Steven Universe,https://open.spotify.com/track/4Fk8SJtl3UAtk22oLAVdDz,84
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:7cSK36g7Jb27r9UmBbyC7e,Test Drive,https://open.spotify.com/track/7cSK36g7Jb27r9UmBbyC7e,84
spotify:artist:1dABGukgZ8XKKOdd2rVSHM,Lofi Fruits Music,spotify:track:2j7BPZDxU6TVZ3miGoLiF5,Wish You Were Here,https://open.spotify.com/track/2j7BPZDxU6TVZ3miGoLiF5,84
spotify:artist:0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,spotify:track:0Oo9yzhli7r5V5XO6y3GeN,Country Does,https://open.spotify.com/track/0Oo9yzhli7r5V5XO6y3GeN,79
spotify:artist:7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,spotify:track:472vIK1ldetTxRxG3ovaiY,Glad You Exist,https://open.spotify.com/track/472vIK1ldetTxRxG3ovaiY,80
spotify:artist:2IvkS5MXK0vPGnwyJsrEyV,Eric Church,spotify:track:6Knc8FSEzgcjOfoKoDS5ZK,Lynyrd Skynyrd Jones,https://open.spotify.com/track/6Knc8FSEzgcjOfoKoDS5ZK,77
spotify:artist:77ziqFxp5gaInVrF2lj4ht,Sech,spotify:track:2TksvaRivgAEj780DgRB73,911,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73,90
spotify:artist:3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,spotify:track:1WDnnOrJO9I8MsAQ8RScdz,"Beautiful Things Can Happen (from the Original Motion Picture ""Music"")",https://open.spotify.com/track/1WDnnOrJO9I8MsAQ8RScdz,78
spotify:artist:5F1aAS1duwlzExnPs3l2Xe,Pooh Shiesty,spotify:track:0FrJf87J2nMq5Tk7z6FurB,Neighbors (feat. BIG30),https://open.spotify.com/track/0FrJf87J2nMq5Tk7z6FurB,76
spotify:artist:6AUl0ykLLpvTktob97x9hO,Tee Grizzley,spotify:track:7gVseEuINTNzR31IiG1aUe,Late Night Calls,https://open.spotify.com/track/7gVseEuINTNzR31IiG1aUe,74
spotify:artist:7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,spotify:track:15b25YHnwPmRelBZrhXBew,Lost One (Live),https://open.spotify.com/track/15b25YHnwPmRelBZrhXBew,75
spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,JID,spotify:track:1wR9S5YnePrWq37LQlqkr7,Ballads (with Conway The Machine),https://open.spotify.com/track/1wR9S5YnePrWq37LQlqkr7,75
